"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",2194.20030814017,-0.108784529487159,0.286503460167167,-0.379697087859554,0.704170282121888,0.742831466721982,"NOS2"
"ENSG00000010610.10",1212.7547850888,-1.04712258876585,0.168896511069399,-6.19978815510043,5.65392114677013e-10,2.730858119722e-09,"CD4"
"ENSG00000049768.16",119.079064193435,1.38771794318135,0.176672589805995,7.85474387795645,4.0058989320956e-15,3.19864582019272e-14,"FOXP3"
"ENSG00000073861.3",24.4044596439486,-1.03294024365913,0.222694046153358,-4.63838284633706,3.51145885208653e-06,1.06900830221055e-05,"TBX21"
"ENSG00000081059.20",1721.78328567619,1.84747359695998,0.133847104981821,13.8028655697178,2.44919842044166e-43,1.36866761149303e-41,"TCF7"
"ENSG00000089692.9",157.793070309579,-0.868099874429198,0.218753736281403,-3.968388788169,7.23602122633706e-05,0.000180898178092842,"LAG3"
"ENSG00000100450.13",62.9385156248463,-0.032902921428545,0.246492149588431,-0.133484662629147,0.893810093169699,0.908126105654705,"GZMH"
"ENSG00000100453.13",459.50030133914,2.07488818018457,0.250443028752655,8.28487097651974,1.18237196692814e-16,1.0761992190456e-15,"GZMB"
"ENSG00000105329.11",1619.31082837595,0.25302102841028,0.170328732229862,1.48548647722467,0.137415002956986,0.181734189353212,"TGFB1"
"ENSG00000109471.5",0.92614790137383,-1.87026483382991,0.343190676942603,-5.44963764893504,5.04725466264287e-08,1.94616186956805e-07,"IL2"
"ENSG00000111537.5",13.5234991211906,0.856949330138663,0.313886192980382,2.73012750896062,0.00633098333071118,0.0112485473504253,"IFNG"
"ENSG00000115415.20",7811.2373843633,0.224172711511441,0.148907381680634,1.50545062965536,0.132208260720507,0.17562142832192,"STAT1"
"ENSG00000118520.15",7.5969348366528,-0.0225470265352261,0.277006645909658,-0.0813952548365193,0.935127622683178,0.943847674603353,"ARG1"
"ENSG00000120217.14",166.899080972744,0.183635781019787,0.221482881268156,0.82911952367756,0.407036777131166,0.468809890966775,"CD274"
"ENSG00000125347.14",2720.83971249476,-0.262898099978771,0.146380997686479,-1.79598516292291,0.0724968767509149,0.102654958030437,"IRF1"
"ENSG00000129226.14",1.89101817231196,0.0899658544238585,0.240305219234611,0.37438160814986,0.708120424273525,0.746343164429086,"CD68"
"ENSG00000131203.13",529.184953053974,0.923768941971795,0.301365327896393,3.0652794348306,0.00217466712479229,0.00421354769676406,"IDO1"
"ENSG00000134460.18",139.815491402043,0.100935132869582,0.201730633505294,0.500346085845872,0.616831408887176,0.665431610805164,"IL2RA"
"ENSG00000135077.9",306.254454959542,0.0328246823816403,0.188963220964666,0.173709371665389,0.862093871981295,0.880436782023717,"HAVCR2"
"ENSG00000135218.19",405.862298539339,-2.39245953473721,0.249656190902438,-9.58301705272815,9.42506618063162e-22,1.26480111499736e-20,"CD36"
"ENSG00000136244.12",138.504705447943,0.948951089421261,0.29809522257029,3.1833824146494,0.00145565222977074,0.00290292345443205,"IL6"
"ENSG00000136634.7",14.1021010239158,-1.03597425329121,0.223441199870381,-4.6364513522671,3.54441564998889e-06,1.07844372028429e-05,"IL10"
"ENSG00000138185.20",866.212061706594,0.0179164451557324,0.120111831961458,0.149164698124674,0.881423675120329,0.8972225585743,"ENTPD1"
"ENSG00000138795.10",466.064246242411,2.08758075975474,0.172706579439823,12.0874419870155,1.230587584484e-33,3.68763841470432e-32,"LEF1"
"ENSG00000145649.8",241.022571943248,-1.56485351273752,0.230591573171888,-6.78625628513771,1.15080647292197e-11,6.60669799379292e-11,"GZMA"
"ENSG00000150045.12",6.31244452419461,-2.00628054876323,0.242154047824723,-8.28514149065731,1.17968751850276e-16,1.07426447237981e-15,"KLRF1"
"ENSG00000153563.16",273.479640376112,-1.12261257358634,0.22348601092715,-5.02318945570277,5.08203680415477e-07,1.73094497704942e-06,"CD8A"
"ENSG00000163599.17",73.6291365930455,1.18871554099362,0.197173345418711,6.0287841567495,1.65197738364603e-09,7.57195689902706e-09,"CTLA4"
"ENSG00000166710.21",86102.5515813598,-1.10191677139575,0.120496312569708,-9.1448173632557,5.97307064498638e-20,6.99715560901254e-19,"B2M"
"ENSG00000168394.11",6681.44925814073,0.41953642008647,0.159541310399006,2.62964130755368,0.00854750006775049,0.0147816541518893,"TAP1"
"ENSG00000170458.14",1868.92325222934,-1.00224911274268,0.179840465278977,-5.57298998969972,2.50403964411085e-08,1.00054886922812e-07,"CD14"
"ENSG00000172116.23",94.7339873391032,-0.786609051997544,0.210420209830746,-3.73827710099834,0.000185285663859614,0.000432288240694859,"CD8B"
"ENSG00000173372.17",2525.53424972583,-1.42632480079571,0.192264988751968,-7.41853631310763,1.18421711371669e-13,8.25559299566013e-13,"C1QA"
"ENSG00000177575.13",924.042440175635,-1.20546421744128,0.248341455215839,-4.85405957049572,1.2095937472113e-06,3.92648183038102e-06,"CD163"
"ENSG00000178562.18",75.2889885954378,-0.900761098624616,0.191039453185881,-4.71505274749806,2.41648140014083e-06,7.51913729291149e-06,"CD28"
"ENSG00000179583.19",844.701975825753,-0.200947767267815,0.230017881210897,-0.873618025737622,0.382326306297073,0.444423265251808,"CIITA"
"ENSG00000180644.8",300.048331343666,-0.34835026024953,0.215290945122987,-1.61804417761524,0.10565307733917,0.143799343828202,"PRF1"
"ENSG00000181847.12",130.131376066152,-0.0872149068431561,0.209255977221607,-0.416785737741645,0.676835135364605,0.718807813086652,"TIGIT"
"ENSG00000182578.14",1226.22209157581,-1.31423063339877,0.187710063529914,-7.00138612008581,2.53442391617771e-12,1.55457875407282e-11,"CSF1R"
"ENSG00000188389.11",65.9821698930524,0.193801601788706,0.219047819055057,0.884745635107167,0.376293836685054,0.438530739453867,"PDCD1"
"ENSG00000189430.13",5.88351771330662,-0.837100698540417,0.282071425191365,-2.96769053431239,0.0030004625399861,0.00566372659440523,"NCR1"
"ENSG00000196126.11",8775.24075466008,-0.480436222059356,0.208463863455974,-2.3046498999613,0.0211861888857476,0.033843501915005,"HLA-DRB1"
"ENSG00000196735.13",2264.65018940578,-0.754221253995699,0.220005001203601,-3.42820049485017,0.000607596552310884,0.00129728797949112,"HLA-DQA1"
"ENSG00000198846.6",361.945655406396,-1.4742918913594,0.21922330735294,-6.72506910492804,1.75509126411862e-11,9.86520377654514e-11,"TOX"
"ENSG00000204267.16",1286.93390714819,0.306315135949829,0.12937647127238,2.36762629972289,0.0179026084323671,0.0290238914779346,"TAP2"
"ENSG00000204287.14",15487.9670927857,-0.567683709441159,0.21128991539115,-2.68675250491835,0.00721503913003702,0.0126780900106277,"HLA-DRA"
"ENSG00000204525.17",47955.6369674587,-0.542993105116622,0.145666156556753,-3.72765450775841,0.00019327007524102,0.00044938945163541,"HLA-C"
