"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",289.329717808391,0.142614952732271,0.370418043487282,0.385010814780053,0.700229402990768,0.75553045569002,"NOS2"
"ENSG00000010610.10",2354.87962962225,0.496918712340126,0.186448778005652,2.6651754849531,0.0076948157584729,0.0147809849140578,"CD4"
"ENSG00000049768.16",406.388747424375,1.51314559882692,0.18702538638869,8.09058934749207,5.93767254329211e-16,7.14381454689254e-15,"FOXP3"
"ENSG00000073861.3",63.4678349637667,0.946297054549618,0.232677304005486,4.0669933777783,4.76235958456255e-05,0.000141660193823381,"TBX21"
"ENSG00000081059.20",761.70218147057,0.0910557104092885,0.162292006174803,0.561060970009906,0.574755974068102,0.64320036936865,"TCF7"
"ENSG00000089692.9",555.840163074397,2.0530930020561,0.240317394489143,8.54325591545499,1.3049197358486e-17,1.87265025007185e-16,"LAG3"
"ENSG00000100450.13",239.059828269902,0.790189597538186,0.282490465938612,2.79722572198207,0.00515435095558912,0.0102921352151429,"GZMH"
"ENSG00000100453.13",703.02114278927,1.23405657086899,0.241208261884536,5.1161455301217,3.11842490982334e-07,1.31954750147063e-06,"GZMB"
"ENSG00000105329.11",7551.4489169712,1.55916049228176,0.11168871700269,13.9598746777995,2.73915072150605e-44,4.49971350976636e-42,"TGFB1"
"ENSG00000109471.5",1.24905110873334,-0.449467242459459,0.373451649356909,-1.20354868758366,0.228764062386129,0.294923002100499,"IL2"
"ENSG00000111537.5",40.7400310744961,1.88702313412549,0.312414592104804,6.04012482711582,1.53995046814455e-09,8.98694578070559e-09,"IFNG"
"ENSG00000115415.20",28061.0548330878,1.3327222998212,0.167602642784595,7.95167831293708,1.84001535672326e-15,2.10907362374629e-14,"STAT1"
"ENSG00000118520.15",179.619549515178,-0.105320159254554,0.42121218917952,-0.250040625509218,0.802555931615416,0.842551805922732,"ARG1"
"ENSG00000120217.14",950.790507973535,1.11589777026782,0.231527397589156,4.8197223390727,1.43758158729936e-06,5.47489135715916e-06,"CD274"
"ENSG00000125347.14",3752.79041042577,0.587480928756088,0.168748834954254,3.48139250214882,0.000498813958265243,0.00123256972374639,"IRF1"
"ENSG00000129226.14",2.53674194231646,0.935383872437193,0.25040342873538,3.7355074455697,0.000187337036310678,0.000501262270454154,"CD68"
"ENSG00000131203.13",2351.32712386933,2.76598555540377,0.323518971841111,8.54968578708952,1.23424049575724e-17,1.77794112561253e-16,"IDO1"
"ENSG00000134460.18",356.26391608437,1.38442403845114,0.19058537073364,7.26406246776406,3.756343978185e-13,3.39063818727941e-12,"IL2RA"
"ENSG00000135077.9",666.624883055459,0.953130085765904,0.180280303066833,5.2869341217635,1.24383408778266e-07,5.57969895568411e-07,"HAVCR2"
"ENSG00000135218.19",1457.56981898343,-1.2277968918078,0.277959036316493,-4.41718646056103,9.99939662120629e-06,3.34150985965768e-05,"CD36"
"ENSG00000136244.12",563.730060527535,-1.60033916201307,0.294295172218933,-5.43787093055861,5.39210111860313e-08,2.54866099213654e-07,"IL6"
"ENSG00000136634.7",32.2989095299512,0.399856246980101,0.187375188962426,2.13398715803448,0.0328438320502808,0.054040359278972,"IL10"
"ENSG00000138185.20",1259.16462646158,0.359930102250874,0.110653528301949,3.25276661100859,0.00114287324916723,0.00262897778718158,"ENTPD1"
"ENSG00000138795.10",621.648538680465,0.508055901578046,0.174883608262113,2.90510875562779,0.00367125511521198,0.00758193508804341,"LEF1"
"ENSG00000145649.8",554.709066227969,1.31111421820561,0.250788400262033,5.22796994133584,1.71381364287083e-07,7.5233543753673e-07,"GZMA"
"ENSG00000150045.12",17.4274207701542,-1.04622658975162,0.238482023292736,-4.38702496442415,1.14911604962122e-05,3.80098221679647e-05,"KLRF1"
"ENSG00000153563.16",743.502330258864,0.674074332381477,0.253878059334885,2.6551106233734,0.00792824041286871,0.0151800616616488,"CD8A"
"ENSG00000163599.17",228.258103475896,1.80576477730148,0.202013745519389,8.93882132950288,3.9334322611477e-19,6.52117646439377e-18,"CTLA4"
"ENSG00000166710.21",154859.595159953,0.643085524750951,0.126372055622025,5.08882696879128,3.60285157473985e-07,1.51068640885122e-06,"B2M"
"ENSG00000168394.11",13135.3953286198,1.25152335735749,0.16710551930728,7.489419634645,6.91788275287964e-14,6.76716678451602e-13,"TAP1"
"ENSG00000170458.14",3919.89372372931,-0.172395534513323,0.181784146858978,-0.948352964172733,0.342949796049477,0.417390973507198,"CD14"
"ENSG00000172116.23",143.219810782251,0.541593803853668,0.265207820671702,2.04214869109799,0.0411367842395507,0.0658855714203248,"CD8B"
"ENSG00000173372.17",5798.16754246522,0.686824861680935,0.218126459107933,3.14874621121081,0.00163972529828717,0.00363698628478899,"C1QA"
"ENSG00000177575.13",1679.55751286238,0.654311457113805,0.233674949203703,2.80009243328611,0.00510879754780086,0.0102140990923972,"CD163"
"ENSG00000178562.18",165.70674551424,0.57790945528384,0.213511861010876,2.70668548598526,0.00679586065229091,0.0132018740478781,"CD28"
"ENSG00000179583.19",1492.89065268814,0.398759052308383,0.21725979835462,1.83540192584324,0.0664461585882407,0.100526534721315,"CIITA"
"ENSG00000180644.8",803.135721241462,1.23192892772707,0.216319591523411,5.69494847439069,1.23409184747077e-08,6.39194851238878e-08,"PRF1"
"ENSG00000181847.12",421.984128822918,1.56825706502651,0.210164759634952,7.4620362983333,8.51954055884087e-14,8.23957490390698e-13,"TIGIT"
"ENSG00000182578.14",2551.3667615738,0.113854254487902,0.184799050003279,0.61609761784967,0.537830094202738,0.609462291938227,"CSF1R"
"ENSG00000188389.11",168.858934335274,0.74061389340416,0.227938254845211,3.24918646897205,0.00115735583976316,0.00265853389504992,"PDCD1"
"ENSG00000189430.13",14.284145601114,1.46297512505858,0.260688817254427,5.61195965544906,2.00048085040979e-08,1.0055079461261e-07,"NCR1"
"ENSG00000196126.11",20093.3530440366,0.450908056068329,0.21081601408169,2.13887003808736,0.0324461952166083,0.053439412144813,"HLA-DRB1"
"ENSG00000196735.13",5813.31835994911,0.487047783748469,0.218094537529498,2.23319570157779,0.0255360416695676,0.0431801359829493,"HLA-DQA1"
"ENSG00000198846.6",274.274927795085,1.23632705910877,0.210718783396563,5.86718962201891,4.43243670409165e-09,2.42672536039269e-08,"TOX"
"ENSG00000204267.16",3637.51008381176,0.976423235430399,0.127037034435329,7.68613058208207,1.51651725117246e-14,1.59194709540128e-13,"TAP2"
"ENSG00000204287.14",32814.5688138956,0.36570235804571,0.20133774872698,1.81636260640628,0.0693147673398526,0.104353907527116,"HLA-DRA"
"ENSG00000204525.17",76921.4843115566,0.971646063762294,0.146447315852044,6.63478233185203,3.24981746131422e-11,2.34070431778342e-10,"HLA-C"
"ENSG00000206503.13",76319.8913190666,1.06090731480261,0.150355003915912,7.05601600992232,1.71344093185323e-12,1.43849049632661e-11,"HLA-A"
"ENSG00000213809.9",9.73568820206026,0.998184485822174,0.253672436218839,3.93493475562737,8.32192999759929e-05,0.000237236798004314,"KLRK1"
"ENSG00000232810.4",235.194928266957,0.602304525628683,0.229247118397789,2.62731557909297,0.00860614781128496,0.0163468488834174,"TNF"
"ENSG00000234745.12",121484.8928153,1.19878345676943,0.157988662337313,7.58778154732377,3.25428950540941e-14,3.30153854246836e-13,"HLA-B"
