"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",258.443536773107,0.927597846762852,0.162673688400097,5.70219963588347,1.18271195627518e-08,2.73539697138978e-08,"NOS2"
"ENSG00000010610.10",5556.02662979742,1.78193572047461,0.10599784591251,16.8110559713204,2.02531177170973e-63,6.77655457030877e-62,"CD4"
"ENSG00000049768.16",148.863802534338,1.73860370613748,0.167473585835801,10.3813607230103,3.01447588775304e-25,2.00554517707376e-24,"FOXP3"
"ENSG00000073861.3",137.40986079881,2.46958996937888,0.12560273437562,19.6619124707387,4.57164025210045e-86,3.37257394509466e-84,"TBX21"
"ENSG00000081059.20",605.427156007864,0.995747117787558,0.137712971812863,7.23059784913125,4.80872367942529e-13,1.54460631184683e-12,"TCF7"
"ENSG00000089692.9",586.25819838329,3.55778392531047,0.206878562584179,17.1974509145325,2.77472472501605e-66,1.02442325377597e-64,"LAG3"
"ENSG00000100450.13",389.522358696179,2.981270425369,0.150125275087855,19.8585509576873,9.29539582185995e-88,7.2583814002352e-86,"GZMH"
"ENSG00000100453.13",335.3248333995,2.56173478807717,0.14728955851176,17.3925077511359,9.40285721987698e-68,3.64626964679412e-66,"GZMB"
"ENSG00000105329.11",7495.40890836916,1.57215220406356,0.0949691430522377,16.5543475863397,1.48947281418903e-61,4.67963152868894e-60,"TGFB1"
"ENSG00000109471.5",3.62541118890498,2.57402711858179,0.27409122230026,9.39113298477691,5.93582679656492e-21,3.12988482054492e-20,"IL2"
"ENSG00000111537.5",46.4746623596987,4.47433115684163,0.255877744094706,17.4862068315937,1.82507989075739e-68,7.30360142497099e-67,"IFNG"
"ENSG00000115415.20",16678.9072038337,0.363936974522363,0.11187169929134,3.25316390854659,0.00114127644747605,0.00169279268089738,"STAT1"
"ENSG00000118520.15",13.2035253498561,1.21066783874062,0.159720294286411,7.57992491905662,3.45754990364168e-14,1.20248770654696e-13,"ARG1"
"ENSG00000120217.14",414.790477031863,0.610445716985642,0.113246368847794,5.39042199053726,7.02924245417389e-08,1.52823551820514e-07,"CD274"
"ENSG00000125347.14",3147.7074435262,1.23260177449663,0.110297035465148,11.1752937810021,5.38718205435006e-29,4.32898171982256e-28,"IRF1"
"ENSG00000129226.14",5.48143151185458,2.01115586142202,0.192522332555366,10.4463510010905,1.5227165466468e-25,1.02965866687335e-24,"CD68"
"ENSG00000131203.13",1766.11013913608,3.98013123500531,0.164880915898388,24.1394294380204,9.64175797673629e-129,2.90398151151957e-126,"IDO1"
"ENSG00000134460.18",250.185549829579,2.2241169622699,0.189561515713229,11.7329562063356,8.63879036671517e-32,7.98276042698677e-31,"IL2RA"
"ENSG00000135077.9",4676.66835610571,1.82015612474077,0.167858669258111,10.8433846925235,2.14389427412942e-27,1.59125656537106e-26,"HAVCR2"
"ENSG00000135218.19",8471.4999029668,2.1659102750194,0.155228000208443,13.9530901133235,3.01264317981655e-44,4.85831161421463e-43,"CD36"
"ENSG00000136244.12",318.232979763399,0.605842455200052,0.273422682838244,2.21577247692528,0.0267070883200049,0.0342708314034903,"IL6"
"ENSG00000136634.7",38.5989617632082,1.26659391413547,0.160806373360479,7.87651563595773,3.36636813188516e-15,1.24907349598977e-14,"IL10"
"ENSG00000138185.20",3412.09006405126,1.15061575306364,0.0689311836560813,16.6922384331077,1.49267719042479e-62,4.82985968449404e-61,"ENTPD1"
"ENSG00000138795.10",837.673259834752,1.19935328949129,0.181572202498204,6.60537941925968,3.9650052358202e-11,1.1174207101202e-10,"LEF1"
"ENSG00000145649.8",1004.37609303483,3.12329603130542,0.159441443316344,19.5889849360468,1.91979705108218e-85,1.37819409090053e-83,"GZMA"
"ENSG00000150045.12",87.9309543003429,0.422051642781801,0.12379325576548,3.40932662423352,0.000651234576116825,0.000989868960085692,"KLRF1"
"ENSG00000153563.16",2062.3999002126,3.58547344300464,0.189775195802265,18.8932669933351,1.29573023422228e-79,7.63299437095237e-78,"CD8A"
"ENSG00000163599.17",98.0251762018642,2.96545972396402,0.189932392997062,15.6132383590296,5.91565741975898e-55,1.47003352928477e-53,"CTLA4"
"ENSG00000166710.21",219900.215500099,1.32711730324239,0.0775904894975147,17.1041233511602,1.38266506384184e-65,4.94966909091836e-64,"B2M"
"ENSG00000168394.11",6793.28663988747,1.83275253939848,0.0907218799568528,20.201880078655,9.42401885611177e-91,8.24251850083243e-89,"TAP1"
"ENSG00000170458.14",6348.92866370276,1.74703942825095,0.122364184646513,14.2773756332199,3.02790908712459e-46,5.28735755065548e-45,"CD14"
"ENSG00000172116.23",401.433688114425,3.36335703498988,0.194209570451345,17.3181837907031,3.43013992906155e-67,1.30813039311031e-65,"CD8B"
"ENSG00000173372.17",12561.6958292332,2.61078881348509,0.137728799795345,18.956012231026,3.93901713269e-80,2.35124175429741e-78,"C1QA"
"ENSG00000177575.13",4974.29934880783,1.84431272346709,0.168335510977982,10.9561714741718,6.20700015874396e-28,4.73149405059878e-27,"CD163"
"ENSG00000178562.18",283.357123918794,1.42178280557039,0.140981044781667,10.0849217550647,6.44164850757299e-24,3.99627622605481e-23,"CD28"
"ENSG00000179583.19",2589.47135260547,1.45453176381055,0.116298127090092,12.5069233718938,6.84233941692703e-36,7.68406034099419e-35,"CIITA"
"ENSG00000180644.8",1393.46684889434,2.62789136365778,0.13054093192327,20.1307844592561,3.96665335161028e-90,3.38077021188946e-88,"PRF1"
"ENSG00000181847.12",381.079255708736,2.88687594315652,0.176206696488332,16.3834632887955,2.51033349940551e-60,7.55514194734679e-59,"TIGIT"
"ENSG00000182578.14",6230.65732804809,1.59889443791129,0.118491986461563,13.4936925749823,1.70350311789142e-41,2.42325738268802e-40,"CSF1R"
"ENSG00000188389.11",285.489326906436,3.3291131884271,0.208623007265221,15.9575553629846,2.5242670142792e-57,6.82762242120164e-56,"PDCD1"
"ENSG00000189430.13",31.1522070935911,2.63041709501571,0.156663061069229,16.7902827703164,2.87471969783367e-63,9.51698526081168e-62,"NCR1"
"ENSG00000196126.11",43333.5725303259,1.60899920086202,0.109527608231516,14.6903527507053,7.4325867039915e-49,1.45449222368584e-47,"HLA-DRB1"
"ENSG00000196735.13",14860.6213546175,2.19187356435005,0.135650121680851,16.158286754117,9.92827350125291e-59,2.84076271366564e-57,"HLA-DQA1"
"ENSG00000198846.6",524.822626148605,-1.21466652645117,0.166561149977717,-7.2926161149444,3.03993367883268e-13,9.89788371183285e-13,"TOX"
"ENSG00000204267.16",2074.06533179256,1.15403389121745,0.07878857694931,14.6472234415392,1.40334271187509e-48,2.70135042538646e-47,"TAP2"
"ENSG00000204287.14",76910.8970804748,1.71393554767286,0.111765000003499,15.3351724387706,4.45089262821141e-53,1.03298874218362e-51,"HLA-DRA"
"ENSG00000204525.17",96791.7801105757,1.31682786388736,0.083348879476538,15.7989870068744,3.16156096356771e-56,8.18125381644672e-55,"HLA-C"
"ENSG00000206503.13",107704.470909788,1.70899030150362,0.0855558066774648,19.9751526853847,9.06063924926166e-89,7.45279439521404e-87,"HLA-A"
"ENSG00000213809.9",28.8685681463091,3.2869542688325,0.210544767692427,15.6116644685952,6.06342561248319e-55,1.50488663683303e-53,"KLRK1"
"ENSG00000232810.4",54.9681795488049,0.422900706279994,0.165509586948078,2.55514326437575,0.0106144100519834,0.0142357050308809,"TNF"
"ENSG00000234745.12",158504.417788673,1.94062798505373,0.0842690409622262,23.0289553897216,2.39083386208518e-117,5.20500124170696e-115,"HLA-B"
