"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",71.7409523269453,1.48669917166234,0.228929564070289,6.49413358951696,8.35126194171956e-11,5.17305024426627e-10,"NOS2"
"ENSG00000010610.10",2793.36406224715,-1.96684932209256,0.161709322832088,-12.1628690767251,4.90067434984504e-34,3.25099008259165e-32,"CD4"
"ENSG00000049768.16",215.610655203701,-0.00576580891620242,0.261828108996911,-0.0220213518643655,0.982430923342048,0.986466264952852,"FOXP3"
"ENSG00000073861.3",45.6956089267231,-0.585890547877931,0.185996223456111,-3.15001314000433,0.00163263119404151,0.00337821034725492,"TBX21"
"ENSG00000081059.20",862.778545957672,0.877321589828356,0.195577499109204,4.48580022663287,7.26407801636508e-06,2.24733997106198e-05,"TCF7"
"ENSG00000089692.9",232.629950569852,-0.0765935084313726,0.236451243267944,-0.323929396068253,0.745991488040968,0.794431164467462,"LAG3"
"ENSG00000100450.13",106.159029723164,-0.503937629396435,0.21058154433382,-2.39307595065206,0.0167077820959233,0.0282137505004098,"GZMH"
"ENSG00000100453.13",93.7569694753191,-0.0463263557134997,0.227411462653046,-0.203711612304162,0.838578867173542,0.87305565091448,"GZMB"
"ENSG00000105329.11",1651.1987814182,0.573259796818211,0.194956936074332,2.94044319920807,0.0032774308549173,0.00640548431361426,"TGFB1"
"ENSG00000111537.5",11.4925244811674,0.138784171068051,0.332915452388105,0.416875125718884,0.676769748523425,0.734085445205026,"IFNG"
"ENSG00000115415.20",9883.16552575779,-0.0282492725771729,0.160563809055468,-0.175937982185101,0.860342665280414,0.890428989108769,"STAT1"
"ENSG00000118520.15",18483.612112405,-1.09122732257128,0.242693773769418,-4.49631362858137,6.91417285706109e-06,2.1467887840816e-05,"ARG1"
"ENSG00000120217.14",104.842388727479,-1.02406070733018,0.192210417001175,-5.32781065307152,9.94036698266084e-08,4.0722863157582e-07,"CD274"
"ENSG00000125347.14",1915.07690407579,-0.460042970677164,0.138830506026064,-3.31370232555945,0.000920694687299091,0.00200167443603813,"IRF1"
"ENSG00000131203.13",144.783196936118,0.903360352734234,0.26290614335691,3.43605646182209,0.000590247947884379,0.00132519798886451,"IDO1"
"ENSG00000134460.18",55.7275518782801,0.232492432820287,0.248941434836713,0.933924209815794,0.350342989567872,0.421824644332913,"IL2RA"
"ENSG00000135077.9",330.931621531294,-0.391155689726082,0.194126448080997,-2.0149531070742,0.0439095626917752,0.0675193800559115,"HAVCR2"
"ENSG00000135218.19",3261.83360292813,0.557559059705843,0.22442114665965,2.48443191742273,0.0129758317738062,0.0224627898544433,"CD36"
"ENSG00000136244.12",32.2755640398781,-1.92549690890786,0.32179061013582,-5.98369513670755,2.18131423179359e-09,1.12232485316977e-08,"IL6"
"ENSG00000136634.7",11.1873380609804,-1.52707136698913,0.227985713492725,-6.69810113798144,2.11145120920252e-11,1.41184824985788e-10,"IL10"
"ENSG00000138185.20",572.801432855858,0.638419118945357,0.103872365761767,6.14618829814255,7.93670589041081e-10,4.32979031635064e-09,"ENTPD1"
