"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",127.981971079465,-0.579463652512123,0.232884233128515,-2.48820473901447,0.0128389796794595,0.020849022943356,"NOS2"
"ENSG00000010610.10",5596.93972063282,-0.866041621942824,0.121408021903845,-7.13331465550711,9.79802183020533e-13,5.38943610513287e-12,"CD4"
"ENSG00000049768.16",229.475852619468,1.84565749528151,0.140945823690821,13.0948008742007,3.52597825166413e-39,1.09459670509963e-37,"FOXP3"
"ENSG00000073861.3",134.930078425816,-0.610765899309147,0.19677441073438,-3.10388884931589,0.00190995069643572,0.00358125550423897,"TBX21"
"ENSG00000081059.20",744.07329156621,0.204205734378886,0.121290927630129,1.6836027093601,0.0922584747758215,0.125949812245399,"TCF7"
"ENSG00000089692.9",385.850160154817,1.26063528076187,0.180753876874662,6.97431945891825,3.07354961776262e-12,1.61379009991613e-11,"LAG3"
"ENSG00000100450.13",241.751526280798,-0.729325813574163,0.189590876436664,-3.84684024506742,0.000119650930347774,0.000271043161030674,"GZMH"
"ENSG00000100453.13",536.245665293224,-0.0417326496546936,0.19548740665802,-0.213479990185248,0.83095259491615,0.86550285094543,"GZMB"
"ENSG00000105329.11",3681.12851151215,-0.518472129770608,0.108540152872531,-4.77677722067979,1.78126927426014e-06,5.1384353080961e-06,"TGFB1"
"ENSG00000109471.5",3.91106209862762,-0.510275833717144,0.213316118977187,-2.39211099547388,0.0167517754562015,0.0266022229881838,"IL2"
"ENSG00000111537.5",42.9612042117119,1.26361919135393,0.251241443792455,5.02950139228533,4.91756930902913e-07,1.51686822938354e-06,"IFNG"
"ENSG00000115415.20",17399.3759224308,0.742313210851366,0.117736936251449,6.30484565409464,2.88481231079795e-10,1.26598724826685e-09,"STAT1"
"ENSG00000118520.15",13.6225256525436,-1.23501871915636,0.201845362323728,-6.11863807490206,9.43784853667965e-10,3.93719091135136e-09,"ARG1"
"ENSG00000120217.14",845.419216824677,-0.726755811449678,0.186871707159827,-3.88906283618473,0.000100632062896142,0.000230319310210717,"CD274"
"ENSG00000125347.14",2920.0198313687,-0.62050482423374,0.119525546611396,-5.19139917637139,2.08719602319395e-07,6.72404715084876e-07,"IRF1"
"ENSG00000129226.14",3.59340329832854,-1.28224796770771,0.16942573564733,-7.56820067983522,3.78429081661591e-14,2.33442162807232e-13,"CD68"
"ENSG00000131203.13",1847.88991179127,0.351388366261149,0.221217228316962,1.58843128509718,0.112188847783945,0.15011918919639,"IDO1"
"ENSG00000134460.18",443.332817432995,1.37926198854086,0.170835731086265,8.07361539515634,6.8246616852586e-16,4.82583477909132e-15,"IL2RA"
"ENSG00000135077.9",1291.05571349845,-0.777970267546227,0.135144081848011,-5.75659886032722,8.58255285630870e-09,3.22427752889347e-08,"HAVCR2"
"ENSG00000135218.19",2153.73090862507,-2.91232950175983,0.200510388147651,-14.524581637213,8.46575742115712e-48,4.20557971019874e-46,"CD36"
"ENSG00000136244.12",493.20256602079,-2.85284067353492,0.224925846487442,-12.6834719890415,7.30240754869938e-37,2.02952655203143e-35,"IL6"
