"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",1594.94756900518,2.6728519246563,0.358064757646525,7.46471655636909,8.34791149428626e-14,3.39375629394307e-13,"NOS2"
"ENSG00000010610.10",4829.80522403987,-1.55819258751734,0.154126723802826,-10.1098145024527,4.99788151625414e-24,3.5684041623859e-23,"CD4"
"ENSG00000049768.16",275.700901092231,1.4986997383254,0.163521549285475,9.16515128968712,4.94775221287046e-20,2.86707680327332e-19,"FOXP3"
"ENSG00000073861.3",94.6214138423954,-1.82976674349804,0.182805595523523,-10.0093585114718,1.3864862514957e-23,9.68422525357333e-23,"TBX21"
"ENSG00000081059.20",796.270260313117,-0.25131780390881,0.153479360070373,-1.63746971445266,0.101532361985991,0.133144148907736,"TCF7"
"ENSG00000089692.9",447.894974920674,0.936514692388594,0.175210678231035,5.3450777192569,9.03782659554401e-08,2.3916069683193e-07,"LAG3"
"ENSG00000100450.13",284.368877372477,-1.25910899640295,0.206236358277527,-6.10517469819067,1.02688299779084e-09,3.16296256949959e-09,"GZMH"
"ENSG00000100453.13",708.119572819181,-0.17033728883638,0.196675913904461,-0.866081084637161,0.386445697380374,0.442140289963634,"GZMB"
"ENSG00000105329.11",5628.30728733089,-0.217854885049234,0.118314195016197,-1.84132499924806,0.065573946369035,0.0891195861718988,"TGFB1"
"ENSG00000109471.5",2.49407129915559,-1.71087037995755,0.229101957422028,-7.46772484709049,8.15932309488093e-14,3.31971114826228e-13,"IL2"
"ENSG00000111537.5",43.5118367673362,0.60054408489222,0.263109304239542,2.28248897023219,0.0224604879371241,0.032930953028765,"IFNG"
"ENSG00000115415.20",19608.3725815483,0.461486241392075,0.132456032547739,3.4840711481053,0.000493848189127238,0.000901998418930515,"STAT1"
"ENSG00000118520.15",30.7068205779238,-0.78821916361585,0.273683310372675,-2.88004103188656,0.00397623418660357,0.00648302134287403,"ARG1"
"ENSG00000120217.14",1326.05950175687,-0.444930231349252,0.221505825526464,-2.00866153425881,0.0445730406908201,0.0622660867817383,"CD274"
"ENSG00000125347.14",3197.82870377866,-1.06660342764211,0.141341277726898,-7.54629818546723,4.47804124977783e-14,1.85303999092409e-13,"IRF1"
"ENSG00000129226.14",4.49823889468602,-1.50336506839448,0.162336676363561,-9.26078506761853,2.02934546906087e-20,1.20391643986927e-19,"CD68"
"ENSG00000131203.13",2099.40222183039,-0.0565373066423205,0.248761036200145,-0.227275571391463,0.8202094673078,0.844801792411282,"IDO1"
"ENSG00000134460.18",501.520909101098,0.964550131170661,0.198039478383736,4.87049420167467,1.11319468175332e-06,2.6819115989273e-06,"IL2RA"
"ENSG00000135077.9",1170.58083258983,-1.23906477353721,0.161161329886314,-7.68835039032792,1.49044166328249e-14,6.35557312306785e-14,"HAVCR2"
"ENSG00000135218.19",2292.90563383623,-2.92955146715327,0.211809699646032,-13.8310543476008,1.65575691718508e-43,2.75986310934933e-42,"CD36"
"ENSG00000136244.12",1056.50838823513,-2.96429338892784,0.256814643168813,-11.5425403799086,8.05117490390847e-31,7.95147712972041e-30,"IL6"
"ENSG00000136634.7",41.1739458977637,-0.738628033931352,0.174893363249693,-4.2233051055049,2.40745558805532e-05,5.08240624145013e-05,"IL10"
"ENSG00000138185.20",1535.85924191864,-0.757095299513181,0.112123362661801,-6.75234207697476,1.45477375809306e-11,5.10485668831528e-11,"ENTPD1"
"ENSG00000138795.10",1085.48342422699,1.55497119318127,0.152691227750154,10.183762460314,2.34322254610808e-24,1.69776374405866e-23,"LEF1"
"ENSG00000145649.8",637.886317804555,-0.227552883160084,0.203761594955065,-1.11676041410191,0.264096778782488,0.31536208315966,"GZMA"
"ENSG00000150045.12",51.2531569336793,-2.13889144828272,0.213345720820876,-10.0254715213085,1.17795988584842e-23,8.25293856694005e-23,"KLRF1"
"ENSG00000153563.16",922.967333651346,-0.492483738303285,0.189204697426247,-2.60291496459942,0.00924348773167855,0.0143446771789848,"CD8A"
