"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000007171.18",96.3613340274951,1.08305919331908,0.160356679815627,6.75406347003658,1.43760810953007e-11,7.41521581711274e-11,"NOS2"
"ENSG00000010610.10",2648.55405707396,0.331926282813745,0.149166347039534,2.22520889866515,0.0260672177524616,0.0400210315815315,"CD4"
"ENSG00000049768.16",169.571082835189,0.449426576533031,0.184527927601501,2.43554773727039,0.0148692624657773,0.0239191345257676,"FOXP3"
"ENSG00000073861.3",74.0782349749422,-0.750873191885862,0.202763888215426,-3.70318994419804,0.000212905351140185,0.000467852062309506,"TBX21"
"ENSG00000081059.20",2026.06604803381,0.102626898642311,0.136806157577931,0.750162861520692,0.453156623344148,0.51905484634246,"TCF7"
"ENSG00000089692.9",253.823249218437,-0.835192585970939,0.239584525913943,-3.48600387602218,0.000490293900763603,0.0010187670829476,"LAG3"
"ENSG00000100450.13",154.936468745708,-0.205193971186821,0.207966778206194,-0.986667067484095,0.323805879698226,0.387879979807657,"GZMH"
"ENSG00000100453.13",131.205677910433,0.200996901023674,0.216474924919247,0.928499691586234,0.353148427706097,0.41883818047293,"GZMB"
"ENSG00000105329.11",4285.40446545063,1.47733228331968,0.098515605844927,14.9959214141681,7.80716673801309e-51,5.96862600233593e-49,"TGFB1"
"ENSG00000109471.5",1.74293766796454,-1.82004880443472,0.285854119079212,-6.36705467214336,1.92692505340953e-10,8.82568950043658e-10,"IL2"
"ENSG00000111537.5",21.4237263586082,-0.842854394073821,0.299953250578067,-2.80995252576687,0.00495488081796646,0.00869151897559694,"IFNG"
"ENSG00000115415.20",16529.9395534155,0.700935023784038,0.145001870637018,4.83397228397615,1.33835227907003e-06,3.96691916648496e-06,"STAT1"
"ENSG00000118520.15",10.0980403305779,-0.793840523130265,0.117341165040904,-6.76523471412221,1.33093254565471e-11,6.89187153190583e-11,"ARG1"
"ENSG00000120217.14",641.025486236392,0.454160522429053,0.14641915127145,3.10178360197618,0.00192358518026505,0.00360950952296365,"CD274"
"ENSG00000125347.14",1865.15868858759,-0.0672431015157177,0.138087771662722,-0.486959132630211,0.626287292409005,0.681981635305482,"IRF1"
"ENSG00000131203.13",406.327010406374,-0.941764404706925,0.253331160640091,-3.71752295425234,0.000201185712091028,0.000443665745986797,"IDO1"
"ENSG00000134460.18",159.958103693967,0.105834543920978,0.194859090804794,0.543133725421108,0.587037733604173,0.646048984496846,"IL2RA"
"ENSG00000135077.9",526.838518218481,0.330756639690516,0.172955856707342,1.91237605934437,0.0558279764533353,0.0801871614348757,"HAVCR2"
"ENSG00000135218.19",2205.84940835909,-0.422519757835237,0.211398424091922,-1.99868925064225,0.0456419867871915,0.066725800147324,"CD36"
"ENSG00000136244.12",239.780048874265,-1.38786224913095,0.297928681291184,-4.65837073193536,3.18721845770195e-06,9.01577032877227e-06,"IL6"
"ENSG00000136634.7",16.3310130329661,-0.419334767198254,0.209091869119393,-2.0055048958351,0.0449090978758467,0.0657442877095568,"IL10"
"ENSG00000138185.20",9244.26056937992,2.61147470615219,0.116459642211519,22.4238599446246,2.30320594147172e-111,2.35721983564753e-108,"ENTPD1"
"ENSG00000138795.10",917.428143814493,0.300661334840615,0.148130885475202,2.02970051705354,0.0423869903238517,0.0623521903748537,"LEF1"
"ENSG00000145649.8",300.186842115818,-0.448948447596635,0.222557863319625,-2.01722123361637,0.0436724311482961,0.0641004451814392,"GZMA"
"ENSG00000150045.12",64.8538872223934,0.478459742191731,0.203521362121609,2.35090674120901,0.0187277269675943,0.0295388811086684,"KLRF1"
"ENSG00000153563.16",734.92302730517,-0.918481047816099,0.192697440820554,-4.76644133884174,1.87508289489686e-06,5.45987105418435e-06,"CD8A"
"ENSG00000163599.17",118.319313570815,-1.17398310315919,0.265999305326636,-4.4134818386747,1.0172125493644e-05,2.69077059810609e-05,"CTLA4"
"ENSG00000166710.21",219455.421149735,0.413400467003131,0.134116194421182,3.08240528884138,0.00205335060599417,0.00383599214958352,"B2M"
"ENSG00000168394.11",3460.66692650272,0.439120192084927,0.145785563441373,3.01209654590743,0.00259450066021243,0.0047661237013815,"TAP1"
"ENSG00000170458.14",3294.64026911973,0.597593366859038,0.120730749052376,4.94980252793585,7.42888184897564e-07,2.28056250045912e-06,"CD14"
"ENSG00000172116.23",221.931506566102,-0.441070109327447,0.243614784732396,-1.81052274726244,0.0702147600690748,0.0986823500642014,"CD8B"
